File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002CHT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE												33163	ENCODE Consortium Analysis Working Group	1fcda1bc2495dce47bb851030913fa90		https://www.encodeproject.org/files/ENCFF002CHT/@@download/ENCFF002CHT.bed.gz				archived	s3://encode-public/2014/06/06/63a8f8fd-9e85-4fef-9ed0-26fc93e5933b/ENCFF002CHT.narrowPeak.gz	mild to moderate bottlenecking, low read length	missing derived_from, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF837EBB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF562HPN, ENCFF713PKK	3557393	ENCODE Processing Pipeline	8984c72f1a10bc30be40b5830308c6e2		https://www.encodeproject.org/files/ENCFF837EBB/@@download/ENCFF837EBB.bed.gz				released	s3://encode-public/2016/12/16/a63663fb-3d4d-4e39-be5a-d9aed4f9de8f/ENCFF837EBB.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF090IZQ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF438FFV, ENCFF924KUA	3463610	ENCODE Processing Pipeline	602a31e3a8a636578c49071c3ac81d9c		https://www.encodeproject.org/files/ENCFF090IZQ/@@download/ENCFF090IZQ.bed.gz				released	s3://encode-public/2016/12/16/31313309-13bd-4d04-9f22-dab57fed1fec/ENCFF090IZQ.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF727CUX	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF438FFV, ENCFF562HPN, ENCFF713PKK, ENCFF924KUA	4209212	ENCODE Processing Pipeline	b290cfa31327f0070399db84c0d37770		https://www.encodeproject.org/files/ENCFF727CUX/@@download/ENCFF727CUX.bed.gz				released	s3://encode-public/2016/12/16/ed2ed735-fa57-4d11-b7aa-d8e603e731f9/ENCFF727CUX.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF928YOZ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF090IZQ, ENCFF419RSJ, ENCFF727CUX, ENCFF837EBB	25073	ENCODE Processing Pipeline	0c76d111b374f18a9349a1cbbd913dc6		https://www.encodeproject.org/files/ENCFF928YOZ/@@download/ENCFF928YOZ.bed.gz				released	s3://encode-public/2016/12/16/7afb0510-3e06-487d-934e-2da196404f05/ENCFF928YOZ.bed.gz	mild to moderate bottlenecking, low read length	mismatched status, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF313BDA	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF090IZQ, ENCFF419RSJ, ENCFF727CUX, ENCFF837EBB	35116	ENCODE Processing Pipeline	c3c963eb7159c35c5a9b3c3acd963fec		https://www.encodeproject.org/files/ENCFF313BDA/@@download/ENCFF313BDA.bed.gz				released	s3://encode-public/2016/12/16/b2a470cb-7fe3-4556-8965-79921b403adc/ENCFF313BDA.bed.gz	mild to moderate bottlenecking, low read length	mismatched status, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF222RUB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF401FGJ, ENCFF488TFQ, ENCFF837IOW, ENCFF958RTR	4223083	ENCODE Processing Pipeline	c60957f70a67428f5a4f24c98e561dda		https://www.encodeproject.org/files/ENCFF222RUB/@@download/ENCFF222RUB.bed.gz				released	s3://encode-public/2017/12/08/e785f5be-e735-4a11-a29a-70e524ed868c/ENCFF222RUB.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF455MUC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF401FGJ, ENCFF958RTR	3468731	ENCODE Processing Pipeline	66e5c23d8485c0e66c34c7276e574804		https://www.encodeproject.org/files/ENCFF455MUC/@@download/ENCFF455MUC.bed.gz				released	s3://encode-public/2017/12/08/eb6d813b-f391-40a5-9ade-f4217f7f3287/ENCFF455MUC.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF461FGJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF222RUB, ENCFF455MUC, ENCFF595JYV	37777	ENCODE Processing Pipeline	47844d64dbbeff89ad267f2a4b329b58		https://www.encodeproject.org/files/ENCFF461FGJ/@@download/ENCFF461FGJ.bed.gz				released	s3://encode-public/2017/12/08/d2cd3d23-7892-4b09-bad3-de427a7b55db/ENCFF461FGJ.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF595JYV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF488TFQ, ENCFF837IOW	3409558	ENCODE Processing Pipeline	da26d58730ca7b31c63da318e70aa432		https://www.encodeproject.org/files/ENCFF595JYV/@@download/ENCFF595JYV.bed.gz				released	s3://encode-public/2017/12/08/57ee29dc-0a61-43a1-92a2-ca664ad42581/ENCFF595JYV.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
